country;year;value;
·  French Polynesia;2013;*   6,49;
·  French Polynesia;2014;*   7,45;
·  French Polynesia;2015;*   7,83;
·  French Polynesia;2016;*   8,08;
·  French Polynesia;2017;*   8,07;
·  French Polynesia;2018;*   7,71;
·  French Polynesia;2019;*   7,65;
·  French Polynesia;2020;*   8,24;
·  French Polynesia;2021;*   7,44;
·  French Polynesia;2022;*   8,66;
·  French Polynesia;2023;*   8,9;
·  Niue;2000;*   0,6;
·  Niue;2001;*   0,58;
·  Niue;2002;*   0,63;
·  Niue;2003;*   0,71;
·  Niue;2004;*   0,79;
·  Niue;2005;*   0,83;
·  Niue;2006;*   0,79;
·  Niue;2007;*   0,96;
·  Niue;2008;*   0,57;
·  Niue;2009;*   0,87;
·  Niue;2010;*   1,38;
·  Niue;2011;*   1,27;
·  Niue;2012;*   1,19;
·  Niue;2013;*   1,17;
·  Niue;2014;*   1,16;
·  Niue;2015;*   1,11;
·  Niue;2016;*   1,05;
·  Niue;2017;*   1,07;
·  Niue;2018;*   3,02;
·  Niue;2019;*   3,01;
·  Niue;2020;*   3,08;
·  Niue;2021;*   3;
·  Niue;2022;*   2,8;
·  Samoa;2000;*   59,69;
·  Samoa;2001;*   52,41;
·  Samoa;2002;*   49,58;
·  Samoa;2003;*   52,41;
·  Samoa;2004;*   48,82;
·  Samoa;2005;*   48,89;
·  Samoa;2006;*   45,96;
·  Samoa;2007;*   43,18;
·  Samoa;2008;*   45;
·  Samoa;2009;*   43,17;
·  Samoa;2010;*   41,93;
·  Samoa;2011;*   40,64;
·  Samoa;2012;*   40,21;
·  Samoa;2013;*   42,7;
·  Samoa;2014;*   41,43;
·  Samoa;2015;*   37,06;
·  Samoa;2016;*   36,78;
·  Samoa;2017;*   35,23;
·  Samoa;2018;*   35,58;
·  Samoa;2019;*   33,75;
·  Samoa;2020;*   33,84;
·  Samoa;2021;*   30,54;
·  Samoa;2022;*   31,75;
·  Tonga;2000;*   2,48;
·  Tonga;2001;*   2,7;
·  Tonga;2002;*   2,48;
·  Tonga;2003;*   2,01;
·  Tonga;2004;*   2,15;
·  Tonga;2005;*   2,15;
·  Tonga;2006;*   1,86;
·  Tonga;2007;*   2,16;
·  Tonga;2008;*   2,37;
·  Tonga;2009;*   2,05;
·  Tonga;2010;*   0,96;
·  Tonga;2011;*   1,1;
·  Tonga;2012;*   1,1;
·  Tonga;2013;*   1,54;
·  Tonga;2014;*   1,68;
·  Tonga;2015;*   2;
·  Tonga;2016;*   1,7;
·  Tonga;2017;*   1,74;
·  Tonga;2018;*   1,69;
·  Tonga;2019;*   1,68;
·  Tonga;2020;*   2,55;
·  Tonga;2021;*   2,4;
·  Tonga;2022;*   2,08;
·  Tuvalu;2000;*   0,04;
·  Tuvalu;2001;*   0,03;
·  Tuvalu;2002;*   0,02;
·  Tuvalu;2003;*   0,03;
·  Tuvalu;2004;*   0,02;
·  Tuvalu;2005;*   0,02;
·  Tuvalu;2006;*   0,02;
·  Tuvalu;2007;*   0,02;
·  Tuvalu;2008;*   0,2;
·  Tuvalu;2009;*   0,25;
·  Tuvalu;2010;*   0,45;
·  Tuvalu;2011;*   0,21;
·  Tuvalu;2012;*   0,27;
·  Tuvalu;2013;*   0,7;
·  Tuvalu;2014;*   0,65;
·  Tuvalu;2015;*   2,98;
·  Tuvalu;2016;*   7,27;
·  Tuvalu;2017;*   6,98;
·  Tuvalu;2018;*   6,03;
·  Tuvalu;2019;*   6,12;
·  Tuvalu;2020;*   6,31;
·  Tuvalu;2021;*   5,38;
·  Tuvalu;2022;*   5,52;
·  Wallis and Futuna;2000;*   3,89;
·  Wallis and Futuna;2001;*   4,46;
·  Wallis and Futuna;2002;*   4,49;
·  Wallis and Futuna;2003;*   4,67;
·  Wallis and Futuna;2004;*   3,81;
·  Wallis and Futuna;2005;*   3,74;
·  Wallis and Futuna;2006;*   3,69;
·  Wallis and Futuna;2007;*   3,55;
·  Wallis and Futuna;2008;*   3,66;
·  Wallis and Futuna;2009;*   3,63;
·  Wallis and Futuna;2010;*   3,67;
·  Wallis and Futuna;2011;*   3,62;
·  Wallis and Futuna;2012;*   3,78;
·  Wallis and Futuna;2013;*   3,96;
·  Wallis and Futuna;2014;*   4,01;
·  Wallis and Futuna;2015;*   3,99;
·  Wallis and Futuna;2016;*   3,81;
·  Wallis and Futuna;2017;*   3,85;
·  Wallis and Futuna;2018;*   3,72;
·  Wallis and Futuna;2019;*   3,58;
·  Wallis and Futuna;2020;*   3,49;
·  Wallis and Futuna;2021;*   3,52;
·  Wallis and Futuna;2022;*   3,38;
;;;
;;;
;;;
;;;
;;;
© Terms & conditions ;;;Sustainable Development Goals (all)
